Periodo,Y,C,G,I,X,M,XN
1993/01,10066403.24,6236192.722,1400312.606,2075338.262,1430232.958,1495226.4,-64993.44178
1993/02,10093057.88,6322647.493,1407265.905,2083075.867,1469001.411,1571378.199,-102376.7876
1993/03,10195828.36,6292017.384,1408020.506,2128449.386,1494371.224,1574643.506,-80272.28227
1993/04,10330169.98,6396745.24,1424323.751,2289207.31,1557092.338,1668812.342,-111720.0041
1994/01,10436512.07,6433793.064,1447782.933,2420604.379,1588012.05,1785726.803,-197714.7536
1994/02,10656012.88,6631475.203,1456454.118,2495121.505,1585210.837,1833052.149,-247841.3122
1994/03,10737684.87,6735729.535,1451307.116,2496739.464,1621717.833,1881146.306,-259428.473
1994/04,10862157.96,6779431.654,1453227.091,2422755.159,1680573.403,1929730.413,-249157.0098
1995/01,10237941.66,6320987.689,1443168.99,1680732.732,1782842.618,1492722.827,290119.7905
1995/02,9736935.703,6199651.98,1432063.19,1476316.344,1937377.587,1539877.426,397500.1611
1995/03,9921230.091,6254902.238,1439914.305,1496102.549,2071677.375,1599862.759,471814.6158
1995/04,10111073.87,6254854.042,1430872.788,1644162.775,1994753.698,1611045.079,383708.6189
1996/01,10383009.74,6394188.096,1425190.052,1717360.69,2199140.634,1724751.16,474389.4742
1996/02,10519591.78,6422591.652,1429083.476,1812231.105,2240376.772,1762426.1,477950.6717
1996/03,10696777.88,6557135.99,1437117.564,1938282.062,2252628.079,1817677.098,434950.981
1996/04,11019709.68,6735597.457,1453470.781,2061729.491,2297006.672,1995480.809,301525.8631
1997/01,11039121.6,6788911.46,1485205.334,2003332.601,2364747.456,1996409.345,368338.1111
1997/02,11292615.13,6975264.108,1500952.795,2140667.516,2417526.904,2156099.467,261427.4375
1997/03,11507482.14,7077377.537,1512201.067,2242702.177,2504572.501,2385204.877,119367.6245
1997/04,11792798.88,7262480.078,1524307.277,2291821.132,2543459.977,2473410.476,70049.50105
1998/01,11901447.5,7364078.21,1508041.586,2334470.109,2625173.382,2554267.02,70906.36214
1998/02,11986817.47,7482123.376,1518009.888,2385568.381,2638020.539,2597780.832,40239.70701
1998/03,12048776.71,7527645.894,1533349.587,2436776.223,2566697.767,2578179.912,-11482.14565
1998/04,12064879.44,7542829.936,1547889.874,2435756.621,2720794.79,2640697.674,80097.1166
1999/01,12187197.14,7711019.893,1586974.631,2502804.937,2694242.019,2686324.541,7917.477575
1999/02,12259226.55,7768644.406,1606281.648,2521721.75,2751252.435,2828295.417,-77042.98177
1999/03,12378887.58,7909781.535,1614954.012,2526489.71,2810672.509,2966038.392,-155365.8826
1999/04,12492450.06,7971618.562,1618360.931,2570271.345,2865650.938,3072770.067,-207119.1298
2000/01,12727066.67,8157003.917,1664530.139,2656495.32,2975581.723,3270986.421,-295404.698
2000/02,12919480.39,8330673.825,1657042.462,2684714.759,3065797.988,3361285.24,-295487.2518
2000/03,13051286.91,8477559.931,1657852.195,2691346.361,3162237.798,3593198.449,-430960.6519
2000/04,12938366.42,8570608.12,1647798.579,2618573.13,3200508.277,3626833.558,-426325.2806
2001/01,12942694.3,8570479.766,1608000.636,2510320.484,3156146.143,3541533.945,-385387.8016
2001/02,12872650.46,8587313.765,1606129.48,2420433.344,3133996.507,3468357.134,-334360.6269
2001/03,12900808.21,8610761.384,1616562.84,2494315.547,3042256.011,3391862.649,-349606.6373
2001/04,12818559.15,8673842.757,1615955.107,2453041.938,3016075.156,3407717.424,-391642.2676
2002/01,12732549.51,8691896.829,1615203.433,2385362.067,3051071.904,3479258.29,-428186.3856
2002/02,12848904.41,8785545.529,1606480.916,2400892.789,3089801.735,3563110.208,-473308.4732
2002/03,12949147.76,8792592.358,1626936.195,2442811.584,3124428.274,3574814.666,-450386.3919
2002/04,12979551.01,8753720.692,1620339.06,2432707.66,3128079.588,3351250.079,-223170.4918
2003/01,13010860.28,8894398.859,1624820.552,2446640.83,3084308.881,3779319.991,-695011.1098
2003/02,13040647.44,8890039.811,1636953.563,2446876.399,3070159.828,3540504.428,-470344.5999
2003/03,13035312.82,8948407.991,1598580.689,2427934.629,3199629.33,3523400.82,-323771.4903
2003/04,13178713.16,9076680.142,1597581.59,2439511.758,3280608.146,3490822.819,-210214.6723
2004/01,13363543.24,9151556.851,1601886.813,2562556.188,3383909.515,3593744.963,-209835.4477
2004/02,13570953.09,9305159.627,1606510.899,2618403.705,3466531.008,3764867.293,-298336.2854
2004/03,13541502.37,9439956.258,1583954.687,2589895.886,3497792.353,3850606.057,-352813.704
2004/04,13721197.24,9552592.764,1602542.32,2671840.701,3533058.932,3961165.429,-428106.4972
